gameDate,hometeamName,awayteamName,homeScore,awayScore
2025-10-02,knicks,76ers,99,84
2025-10-03,suns,lakers,81,103
2025-10-04,76ers,knicks,104,113
2025-10-04,heat,magic,118,126
2025-10-04,nuggets,timberwolves,116,126
2025-10-05,hornets,thunder,114,135
2025-10-05,warriors,lakers,111,103
2025-10-06,heat,bucks,103,93
2025-10-06,rockets,hawks,122,113
2025-10-06,grizzlies,pistons,112,128
2025-10-06,mavericks,thunder,106,89
2025-10-06,raptors,nuggets,108,112
2025-10-07,cavaliers,bulls,117,118
2025-10-07,timberwolves,pacers,134,135
2025-10-08,heat,spurs,107,112
2025-10-08,rockets,jazz,140,127
2025-10-08,grizzlies,celtics,103,121
2025-10-08,warriors,trail blazers,129,123
2025-10-08,kings,raptors,122,130
